pl_name,hostname,pl_letter,tic_id,pl_trandep,st_teff,st_logg,ra,dec,sy_dist,sy_tmag,Ratio,AB_Mag,Data_Size,Weight
11 Com b,11 Com,b,72437047,,4874,2.45,185.1787793,17.7932516,93.1846,3.8379,0.002030428,12.31838552,1.003590876,1
11 UMi b,11 UMi,b,230061010,,4213,1.93,229.2745954,71.8239428,125.321,3.82294,5.33E-05,16.25545529,1.090406365,1
14 And b,14 And,b,333225860,,4888,2.55,352.82415,39.2358367,75.4392,4.3214,0.002030428,12.80188552,1.014321253,1
14 Her b,14 Her,b,219483057,,5338,4.45,242.6021014,43.8163621,17.9323,5.8631,0.009409682,12.67861714,1.030013019,1
16 Cyg B b,16 Cyg B,b,27533327,,5750,4.36,295.4656422,50.5168243,21.1397,5.6281,0.021058311,11.5689957,1.052054905,1
17 Sco b,17 Sco,b,135596590,,4157,1.7,243.4620874,-11.8377905,124.953,3.97655,3.45E-05,16.88152558,1.000018036,1
18 Del b,18 Del,b,354489950,,4980,2.87,314.6078375,10.8391378,76.222,4.7181,0.003555543,12.59028981,1.002349714,1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,48964101,,4060,4,242.3762343,-21.0831403,139.135,11.1941,0.00012803,22.67527532,1.000018036,1
24 Boo b,24 Boo,b,441712711,,4816,2.28,217.1555242,49.8446488,95.9863,4.7812,0.001342439,13.71091793,1.013268845,1
24 Sex b,24 Sex,b,1713457,,5098,3.5,155.8684866,-0.9023998,72.0691,5.6416,0.005257817,13.08904097,1.010111175,1
2M0437 b,2MASS J04372171+2651014,b,125843782,,3100,4.5,69.3405531,26.8502997,128.484,13.0123,2.14E-05,26.43321207,1.009943297,1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,11614485,,3530,4.86,20.7128012,-24.6646128,33.8281,11.6243,7.27E-05,23.72026062,1.011979062,1
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,77111651,,3064,4.59,34.8427046,-39.4230767,40.0896412,13.4304,2.14E-05,26.85131207,1.001013307,1
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,118893899,,2936,5.01,70.4371079,23.0308544,120.423987,17.1815,4.30E-06,32.34776031,1.002006864,1
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,102076870,,2825,5.03,181.8890906,-39.5484399,64.308,15.662,1.82E-06,31.76107636,1.001957862,1
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,271164763,,29564,5.51,294.6359173,46.0664076,396.332,12.4561,1.030041309,14.17341793,1.038663615,1
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,200532605,,4045,4.62,339.1025931,47.861683,69.5737,11.1286,0.000148844,22.44622611,1.014363464,1
30 Ari B b,30 Ari B,b,22874788,,6331,4.43,39.2412736,24.6480103,44.657,6.604,0.051569566,11.57247085,1.008142251,1
4 UMa b,4 UMa,b,356478817,,4415,1.8,130.0528099,64.3280504,73.4603,3.5681,0.00016433,14.77826528,1.023426826,1
42 Dra b,42 Dra,b,233721425,,4200,1.71,276.4975053,65.5633652,90.6545,3.7535,3.45E-05,16.65847558,1.147733593,1
47 UMa b,47 UMa,b,21535479,,5872,4.3,164.8647611,40.4304931,13.7967,4.4698,0.028341784,10.08818658,1.015962651,1
51 Eri b,51 Eri,b,298810162,,7295,4.31,69.4007424,-2.4738245,29.7575,4.9574,0.128381673,8.935596965,1.008992866,1
51 Peg b,51 Peg,b,139298196,,5758,4.31,344.3675399,20.7690958,15.4614,4.8576,0.024815205,10.62025988,1.014066757,1
55 Cnc b,55 Cnc,b,332064670,,5172,4.43,133.1468373,28.3298154,12.5855,5.2058,0.007369336,12.2866837,1.041802907,1
6 Lyn b,6 Lyn,b,444865362,,4941,3.16,97.6960311,58.1611753,54.6599,5.0436,0.002473773,13.30965491,1.017877176,1
61 Vir b,61 Vir,b,422478973,,5577,4.34,199.596455,-18.3157745,8.50332,4.085,0.017380802,10.23428,1.023870046,1
7 CMa b,7 CMa,b,48237215,,4826,3.19,99.171276,-19.2561808,19.8101,3.0677,0.001735806,11.71840173,1.018813731,1
70 Vir b,70 Vir,b,95473936,,5495,3.95,202.1064898,13.7763085,17.9011,4.2943,0.014066748,10.67327026,1.008472425,1
75 Cet b,75 Cet,b,251095345,,4809,2.69,38.0391598,-1.0350269,82.9613,4.5054,0.001342439,13.43511793,1.009314611,1
8 UMi b,8 UMi,b,257005016,,4847,2.57,224.201685,74.9009379,162.552,5.96761,0.001342439,14.89732793,1.019274642,1
81 Cet b,81 Cet,b,35725282,,4734,2.41,39.4243555,-3.3963607,101.26,4.77853,0.000928512,14.10851562,1.000018036,1
91 Aqr b,91 Aqr,b,4610441,,4665,2.52,348.9745031,-9.0878076,44.0304,3.3221,0.000928512,12.65208562,1.009439061,1
AB Aur b,AB Aur,b,96680681,,9770,3.77,73.9410446,30.5510888,162.127,6.94321,0.473415775,9.504557726,1.005088135,1
AB Pic b,AB Pic,b,260351540,,5285,4.53,94.8039208,-58.0541184,50.0475,8.2763,0.009409682,15.09181714,1.183009614,1
AF Lep b,AF Lep,b,94945758,,6130,4.4,81.7699216,-11.9011752,26.8564,5.7932,0.039384015,11.05435457,1.01647137,1
AU Mic b,AU Mic,b,441420236,0.2379,3665,4.4,311.2911369,-31.34245,9.7221,6.755,9.34E-05,18.57908301,1.017359503,1
BD+03 2562 b,BD+03 2562,b,366659915,,4095,1.89,177.5647268,2.7601075,1070.63,8.2014,3.79E-05,21.00399138,1.014514759,1
BD+14 4559 b,BD+14 4559,b,230183006,,4864,4.26,318.4010002,14.6893834,49.352,8.7505,0.003133417,16.75990914,1.000018036,1
BD+15 2375 b,BD+15 2375,b,82604982,,4649,2.61,176.4820239,14.6163182,768.045,9.3605,0.000573481,19.21365616,1.004184639,1
BD+15 2940 b,BD+15 2940,b,393702609,,4796,2.8,240.09564,15.5467507,426.42,8.1004,0.001735806,16.75110173,1.001164806,1
BD+20 2457 b,BD+20 2457,b,95359428,,4137,1.51,154.186782,19.8912626,1539.71,8.4752,2.20E-05,21.8664033,1.004733819,1
BD+20 274 b,BD+20 274,b,60923874,,4296,1.99,25.9203179,21.0052692,1322.51,8.1716,8.95E-05,20.04090512,1.030875878,1
BD+20 594 b,BD+20 594,b,26123781,0.049,5766,4.5,53.6511231,20.5990205,179.461,10.4021,0.024815205,16.16475988,1.005972174,1
BD+45 564 b,BD+45 564,b,292607437,,5004,4.22,32.9470485,45.9242187,53.622,8.8588,0.004279353,16.52980933,1.001429664,1
BD+48 738 b,BD+48 738,b,302069358,,4414,2.24,40.7102869,49.5869395,871.493,7.8885,0.00016433,19.09866528,1.000572875,1
BD+48 740 b,BD+48 740,b,302070274,,4534,2.48,40.7425426,48.9300579,666.589,7.5248,0.000354107,17.90141721,1.000021248,1
BD+49 828 b,BD+49 828,b,116376059,,4943,2.85,45.6406187,49.7299481,442.042,8.32678,0.002473773,16.59283491,1.000572859,1
BD+55 362 b,BD+55 362,b,453226076,,5012,4.09,23.9636676,56.6982282,52.5697,8.6036,0.004279353,16.27460933,1.000626362,1
BD+60 1417 b,BD+60 1417,b,159527171,,4993,4.55,190.8875453,60.0143636,44.9543,8.6054,0.004275546,16.2773755,1.009503064,1
BD+63 1405 b,BD+63 1405,b,233075841,,5000,4.2,271.3979337,63.6700064,38.0473,8.1519,0.004279353,15.82290933,1.027534635,1
BD-00 4475 b,BD-00 4475,b,262567433,,5040,4.25,347.7108441,0.4085612,42.6402,8.2452,0.004279353,15.91620933,1.001505497,1
BD-06 1339 b,BD-06 1339,b,66914642,,4324,4.74,88.2511811,-5.9963378,20.2695,8.2906,0.000273532,18.9475357,1.000939219,1
BD-08 2823 b,BD-08 2823,b,33355302,,4816,4.43,150.1971964,-9.5165689,41.3342,8.86,0.002163516,17.27155435,1.003130388,1
BD-10 3166 b,BD-10 3166,b,148563075,,5393,4.69,164.6191243,-10.7704227,84.4069,9.3253,0.011614402,15.91226244,1.001918689,1
BD-11 4672 b,BD-11 4672,b,217831699,,4550,4.64,278.3688659,-11.6370481,27.1665,8.7204,0.0005966,18.5306463,1.000018036,1
BD-13 2130 b,BD-13 2130,b,288474555,,4545,2.2,114.2884692,-13.9066703,925.214,8.999,0.000277037,19.64210987,1.007993312,1
BD-17 63 b,BD-17 63,b,75377076,,4714,4.26,7.1413494,-16.2273254,34.4603,8.5246,0.001455741,17.36634461,1.000018036,1
BD-210397 b,BD-210397,b,268804174,,4051,4.67,33.3024198,-21.1962147,23.7324,8.4502,0.000174727,19.59375572,1.00214936,1
CD Cet b,CD Cet,b,328465904,,3130,4.93,48.3530155,4.7751881,8.60715,10.6701,1.58E-05,24.42259839,1.007037822,1
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,b,175744063,,2320,3.85,246.934277,-23.98115,,18.525,7.30E-08,38.11592759,1.000018036,1
COCONUTS-2 b,COCONUTS-2 A,b,272232401,,3406,4.83,117.300914,-76.702696,10.8864,8.94488,5.44E-05,21.35514295,1.134490776,1
CT Cha b,CT Cha,b,454259409,,4403,3.66,166.0375038,-76.4553693,190.72,10.9363,0.000309,21.46085698,1.000647832,1
CoRoT-1 b,CoRoT-1,b,36352297,1.92654,5950,4.25,102.0798591,-3.1021394,787.909,13.0501,0.028113151,18.67728072,1.011061509,1
CoRoT-10 b,CoRoT-10,b,405010127,1.61036,5075,4.65,291.0636813,0.7460143,338.386,13.8215,0.00565356,21.19014957,1.001058948,1
CoRoT-11 b,CoRoT-11,b,110178537,1.1449,6440,4.22,280.6872998,5.9376586,655.037,12.419,0.055356059,17.31054163,1.000018036,1
CoRoT-12 b,CoRoT-12,b,280210963,1.744,5675,4.38,100.7656871,-1.2964437,1126.37,14.7971,0.021058311,20.7379957,1.011053223,1
CoRoT-13 b,CoRoT-13,b,281909674,1.185047,5945,4.46,102.7211432,-5.0864557,1148.93,14.4266,0.028341784,20.04498658,1.010503669,1
CoRoT-14 b,CoRoT-14,b,282706928,,6035,4.35,103.4242023,-5.5360385,1744.6,15.2135,0.034038056,20.63304266,1.006990656,1
CoRoT-16 b,CoRoT-16,b,218299481,1.02,5650,4.36,278.5246658,-6.0026026,732.409,14.7587,0.017380802,20.90798,1.000018036,1
CoRoT-17 b,CoRoT-17,b,218299312,0.44,5740,4.4,278.699236,-6.612288,1176.12,14.4756,0.021058311,20.4164957,1.000018036,1
CoRoT-18 b,CoRoT-18,b,37168957,2.571701,5440,4.4,98.1724172,-0.0316045,764.889,14.2465,0.011614402,20.83346244,1.011095103,1
CoRoT-19 b,CoRoT-19,b,42821097,0.631275,6090,4.07,97.0335983,-0.1707293,790.663,13.1861,0.036980143,18.51563307,1.012123469,1
CoRoT-2 b,CoRoT-2,b,391958006,2.75,5625,4.53,291.7770457,1.3836634,213.283,11.6659,0.017380802,17.81518,1.001750447,1
CoRoT-20 b,CoRoT-20,b,234825296,1.087998,5880,4.35,97.7204249,0.2268931,844.061,13.8786,0.028341784,19.49698658,1.010473786,1
CoRoT-21 b,CoRoT-21,b,280420719,,6200,3.7,101.0526207,-0.2991544,1398.834197,15.2756,0.038834494,20.55201042,1.00696749,1
CoRoT-22 b,CoRoT-22,b,323094535,,5939,4.36,280.6671392,6.2191669,627.158,13.2006,0.028341784,18.81898658,1.000018036,1
CoRoT-23 b,CoRoT-23,b,108155949,,5900,4.3,279.7826586,4.3577516,1060.97,14.1956,0.028341784,19.81398658,1.000018036,1
CoRoT-24 b,CoRoT-24,b,36105482,,4950,4.55,101.922543,-3.7192892,591.555,14.5115,0.003133417,22.52090914,1.006996889,1
CoRoT-25 b,CoRoT-25,b,130038122,,6040,4.31,280.6296561,6.5138223,1103.48,14.1354,0.034038056,19.55494266,1.000018036,1
CoRoT-26 b,CoRoT-26,b,322388624,,5590,3.99,279.7504991,6.9697828,1045.18,14.8162,0.017195232,20.97713447,1.000018036,1
CoRoT-27 b,CoRoT-27,b,416136788,,5900,4.4,278.4958319,5.5383811,1010.28,14.6258,0.028341784,20.24418658,1.000018036,1
CoRoT-28 b,CoRoT-28,b,106352250,,5150,3.6,278.6883216,5.5736911,766.183,12.671,0.005257817,20.11844097,1.000018036,1
CoRoT-29 b,CoRoT-29,b,370736259,,5260,4.3,278.9020691,6.4795703,806.507,14.5448,0.009409682,21.36031714,1.000018036,1
CoRoT-3 b,CoRoT-3,b,392353449,0.4398,6740,4.22,292.0552827,0.1218359,768.771,12.7127,0.075837532,17.26244405,1.001062792,1
CoRoT-30 b,CoRoT-30,b,320636129,,5650,4.4,277.6011767,6.8359338,1032.23,14.8279,0.017380802,20.97718,1.000018036,1
CoRoT-31 b,CoRoT-31,b,250595183,,5700,3.85,94.820735,-4.4222978,2005.76,14.8468,0.02033222,20.82579255,1.000020933,1
CoRoT-35 b,CoRoT-35,b,161062394,1.257,6390,4.01,289.3143526,-2.7747085,1123.21,14.539,0.055356059,19.43054163,1.000018036,1
CoRoT-36 b,CoRoT-36,b,405004589,1.01,6730,4.16,277.7510149,7.1833465,925.958,12.5161,0.075837532,17.06584405,1.000018036,1
CoRoT-4 b,CoRoT-4,b,36440357,1.381232,6190,4.41,102.1946233,-0.6727861,726.412,13.1573,0.045713657,18.25663964,1.010976534,1
CoRoT-5 b,CoRoT-5,b,234112540,1.461,6100,4.19,101.2772396,0.8152163,882.472,13.4831,0.036980143,18.81263307,1.010973466,1
CoRoT-6 b,CoRoT-6,b,130502317,,6090,4.43,281.0725563,6.6632062,645.294,13.2491,0.039384015,18.51025457,1.000018036,1
CoRoT-7 b,CoRoT-7,b,280304863,0.035,5275,4.5,100.9561682,-1.0630076,159.906,10.9996,0.009409682,17.81511714,1.007003841,1
CoRoT-8 b,CoRoT-8,b,391880567,0.651,5080,4.58,291.5885696,1.4262972,322.037,13.4202,0.00565356,20.78884957,1.001062792,1
CoRoT-9 b,CoRoT-9,b,130162252,1.55,5625,4.54,280.7866461,6.2040783,412.98,12.9497,0.017380802,19.09898,1.000018036,1
CoRoTID 223977153 b,CoRoTID 223977153,b,220323515,0.29,5970,4.67,100.1951714,9.2573953,576.683,13.1395,0.034038056,18.55904266,1.007005494,1
DE CVn b,DE CVn,b,446175401,,3579,4.8,201.7207198,45.5455449,30.5225,10.857,9.37E-05,22.67722478,1.019502378,1
DH Tau b,DH Tau,b,268148971,,4371,4,67.4231674,26.5493897,134.846,11.4555,0.000356464,21.82491685,1.006793799,1
DMPP-1 b,DMPP-1,b,66560666,,6196,4.41,86.7761233,-10.6303217,62.5388,7.4742,0.045713657,12.57353964,1.002153388,1
DMPP-2 b,DMPP-2,b,32432767,,6500,4.1,27.407731,-34.4590985,137.94,8.1311,0.062624242,12.88869833,1.000018036,1
DMPP-4 b,DMPP-4,b,26884478,,6400,4.24,293.5826648,51.2358069,25.3284,5.2609,0.055356059,10.15244163,1.068901633,1
DS Tuc A b,DS Tuc A,b,410214986,0.2936,5428,4.6,354.9154673,-69.196043,44.0622,7.8541,0.011614402,14.44106244,1.044881461,1
EPIC 201170410.02,EPIC 201170410,b,38116202,,3648,5,170.1408561,-4.8070039,134,15.3176,9.37E-05,27.13782478,1.002978372,1
EPIC 201238110 b,EPIC 201238110,b,35019000,0.316,3587,4.78,179.7058532,-3.3894613,159.259,14.1497,9.37E-05,25.96992478,1.001099099,1
EPIC 201427007 b,EPIC 201427007,b,66664249,,5633,4.4,184.6021322,-0.5512886,706.391,13.6514,0.017380802,19.80068,1.000018036,1
EPIC 201497682 b,EPIC 201497682,b,301610040,,4991,4.63,168.9366786,0.4880606,253.026,13.0708,0.004275546,20.7427755,1.002965906,1
EPIC 201595106 b,EPIC 201595106,b,397052808,0.025,5820,4.6,183.7203635,1.9681688,232.1,11.2023,0.024815205,16.96495988,1.001084036,1
EPIC 201757695.02,EPIC 201757695,b,380546118,,4520,4.66,173.9385102,4.6164303,577.6,13.797,0.0005966,23.6072463,1.002921963,1
EPIC 201841433 b,EPIC 201841433,b,380583651,0.0447,5053,4.59,175.206752,6.1348146,436.488,13.957,0.00565356,21.32564957,1.00295827,1
EPIC 206024342 b,EPIC 206024342,b,75266189,0.0267,5724,4.59,331.2771441,-14.1218019,369.888,12.516,0.021058311,18.4568957,1.001033756,1
EPIC 206032309 b,EPIC 206032309,b,145752628,,3489,4.85,341.2404563,-13.9011223,161.365,14.8945,7.27E-05,26.99046062,1.001033756,1
EPIC 206042996 b,EPIC 206042996,b,12785571,0.197,4114,4.8,337.5136198,-13.6101475,451.769,15.1373,0.000250866,25.8881505,1.001030016,1
EPIC 206215704 b,EPIC 206215704,b,38355468,0.269,3297,4.9,335.0949721,-9.5097112,109.888,14.9871,3.88E-05,27.7633633,1.00000374,1
EPIC 206317286 b,EPIC 206317286,b,250956593,0.03,4864,4.6,337.6178427,-7.972456,314.35,13.1461,0.003133417,21.15550914,1.001033392,1
EPIC 211822797 b,EPIC 211822797,b,337632006,0.1041,4057,4.7,130.4102091,17.6399744,186.197,13.5357,0.000174727,24.67925572,1.004216716,1
EPIC 211945201 b,EPIC 211945201,b,243244680,0.17,6069,4.22,136.5741931,19.4020565,181.69,9.66896,0.036980143,14.99849307,1.0113708,1
EPIC 212297394 b,EPIC 212297394,b,287331845,0.0535,5171,4.55,207.2061241,-17.6098985,418.395,13.5896,0.007369336,20.6704837,1.006052474,1
EPIC 212424622 b,EPIC 212424622,b,297146115,0.0298,5782.33,4.3,202.3313765,-14.3594358,611.804,12.7615,0.024815205,18.52415988,1.000018036,1
EPIC 212499991 b,EPIC 212499991,b,297146957,,4982.79,4.61,202.488752,-12.7347749,283.29,12.734,0.004275546,20.4059755,1.000018036,1
EPIC 212587672 b,EPIC 212587672,b,771548,0.0187,6004,4.45,205.4445125,-10.8625468,320.07,11.7902,0.034038056,17.20974266,1.000018036,1
EPIC 212624936 b,EPIC 212624936,b,2764004,,5765,4.4,210.6376171,-10.0236852,561.929,13.3582,0.024815205,19.12085988,1.000018036,1
EPIC 212737443 b,EPIC 212737443,b,670036,0.11,4684,4.62,204.2215065,-7.3180577,336.25,13.803,0.001455741,22.64474461,1.000018036,1
EPIC 220492298 b,EPIC 220492298,b,257802602,,5620,4.5,16.7615005,6.588798,624.512,13.2689,0.017380802,19.41818,1.002005545,1
EPIC 220674823 b,EPIC 220674823,b,266015990,0.02847,5532,4.45,13.0800239,10.7947051,244.59,11.4574,0.014266481,17.82106241,1.006960737,1
EPIC 228836835 b,EPIC 228836835,b,51641442,0.068,3782,5,189.5748998,-5.2446247,150.124,14.2591,0.000144639,25.60783748,1.001080088,1
EPIC 229004835 b,EPIC 229004835,b,94924543,0.036,5868,4.47,186.4860415,-1.4047214,121.971,9.63123,0.028341784,15.24961658,1.001084036,1
EPIC 246851721 b,EPIC 246851721,b,411839167,0.464,6202,4.16,78.9198197,16.2786991,372.632,10.8243,0.04291004,15.99235724,1.019747139,1
EPIC 248847494 b,EPIC 248847494,b,392876254,0.18,4898,3.52,159.3890808,11.8427484,551.886,11.594,0.002871187,19.69830081,1.00296601,1
EPIC 249893012 b,EPIC 249893012,b,432254760,,5430,3.99,228.2482353,-16.7246474,321.296,10.8872,0.011342581,17.49987481,1.000018036,1
G 264-012 b,G 264-012,b,322391844,,3326,4.85,326.6719598,66.803848,16.009,10.4626,3.88E-05,23.2388633,1.005701143,1
G 9-40 b,G 9-40,b,203214081,0.365,3348,4.93,134.7188514,21.0747961,27.9276,11.5219,3.88E-05,24.2981633,1.011914614,1
GJ 1002 b,GJ 1002,b,176287658,,3024,5.1,1.6764641,-7.5462123,4.84867,10.2531,8.72E-06,24.6512257,1.006946661,1
GJ 1061 b,GJ 1061,b,79611981,,2953,5.16,54.0032486,-44.5143104,3.67278,9.47068,8.72E-06,23.8688057,1.014693588,1
GJ 1132 b,GJ 1132,b,101955023,0.251212,3270,4.88,153.7090696,-47.1549358,12.613,10.8372,3.88E-05,23.6134633,1.02222198,1
GJ 1148 b,GJ 1148,b,115869504,,3287,4.87,175.4326081,42.7515862,11.0143,9.29573,3.88E-05,22.0719933,1.002138376,1
GJ 1214 b,GJ 1214,b,467929202,,3250,5.03,258.8313991,4.9606795,14.6427,11.581,2.58E-05,24.80059374,1.000018036,1
GJ 1252 b,GJ 1252,b,370133522,0.079726,3458,4.89,306.9286462,-56.4622865,20.373,10.1165,7.27E-05,22.21246062,1.01952247,1
GJ 1265 b,GJ 1265,b,471012766,,3236,5.09,333.4324675,-17.6870623,10.2525,10.8472,2.58E-05,24.06679374,1.007129394,1
GJ 143 b,GJ 143,b,279741379,0.1575,4640,4.61,51.7501882,-63.500166,16.32,6.9934,0.000947466,16.30144546,1.078544203,1
GJ 15 A b,GJ 15 A,b,440109725,,3607,4.87,4.6126677,44.0247296,3.56228,6.229,9.37E-05,18.04922478,1.00309884,1
GJ 160.2 b,GJ 160.2,b,178351350,,4347,4.61,61.6454173,-20.8564724,25.8557,8.4665,0.000273532,19.1234357,1.00205926,1
GJ 163 b,GJ 163,b,219221189,,3500,4.82,62.3228353,-53.3711768,15.1285,9.47061,7.27E-05,21.56657062,1.005145224,1
GJ 179 b,GJ 179,b,450102450,,3370,4.83,73.0245495,6.4752347,12.356,9.44636,5.44E-05,21.85662295,1.007213121,1
GJ 180 b,GJ 180,b,246902275,,3371,4.81,73.460097,-17.776194,11.9407,8.8249,5.44E-05,21.23516295,1.007225341,1
GJ 2030 b,GJ 2030,b,9967949,,5485,3.72,50.8237604,-7.7950429,37.0788,5.5464,0.013322287,11.98440759,1.002912655,1
GJ 2056 b,GJ 2056,b,65406275,,4069.95,4.48,108.0194945,-24.8921008,28.4434,8.8868,0.000174727,20.03035572,1.003546962,1
GJ 229 b,GJ 229,b,124279525,,3564,4.69,92.6435993,-21.8677233,5.75624,6.408,7.80E-05,18.42712349,1.009365203,1
GJ 251 b,GJ 251,b,68581262,,3451,4.96,103.7002499,33.2664632,5.58057,7.64819,7.27E-05,19.74415062,1.037024329,1
GJ 27.1 b,GJ 27.1,b,80417903,,3542,4.72,9.9980016,-44.2541679,23.6062,9.54228,6.42E-05,21.77316765,1.001014235,1
GJ 273 b,GJ 273,b,318686860,,3382,4.91,111.852091,5.225807,5.921535,7.308,5.44E-05,19.71826295,1.001019416,1
GJ 3021 b,GJ 3021,b,290543478,,5540,4.7,4.0634323,-79.8514218,17.5559,5.9121,0.014266481,12.27576241,1.022814874,1
GJ 3082 b,GJ 3082,b,206548902,,3910,4.77,18.6432425,-53.9407751,16.6186,9.14696,0.000172245,20.30604755,1.002981623,1
GJ 3090 b,GJ 3090,b,262530407,0.1395,3556,4.73,20.4384281,-46.7147234,22.4751,9.49275,7.80E-05,21.51187349,1.021441942,1
GJ 3138 b,GJ 3138,b,632528291,,3717,4.63,32.2977385,-16.3392495,28.4712,11.075,9.34E-05,22.89908301,1.001129434,1
GJ 317 b,GJ 317,b,118608254,,3492.73,4.82,130.2445254,-23.452809,15.1968,9.51138,7.27E-05,21.60734062,1.014984794,1
GJ 3222 b,GJ 3222,b,160004049,,5257.46,4.43,50.8972464,-40.0762325,18.23817,6.081,0.009409682,12.89651714,1.006672802,1
GJ 328 b,GJ 328,b,265373654,,3897,4.64,133.7819507,1.5420011,20.5266,8.35839,0.000129376,19.82821086,1.009076574,1
GJ 3293 b,GJ 3293,b,178872239,,3466,4.78,67.1484425,-25.1713396,20.1903,9.82063,7.27E-05,21.91659062,1.003076573,1
GJ 3341 b,GJ 3341,b,77897915,,3526,4.77,78.9471415,-31.2948458,23.619,9.99373,7.27E-05,22.08969062,1.002843704,1
GJ 338 B b,GJ 338 B,b,251078597,,4014,4.68,138.5916722,52.6835211,6.33256,6.046,0.000148844,17.36362611,1.002703696,1
GJ 3470 b,GJ 3470,b,19028197,0.653,3600,4.7,119.7735021,15.391209,29.4214,10.2479,7.80E-05,22.26702349,1.034583278,1
GJ 3473 b,GJ 3473,b,452866790,0.097327,3347,4.81,120.5936065,3.3371629,27.3644,11.1972,3.88E-05,23.9734633,1.014195911,1
GJ 3512 b,GJ 3512,b,445064836,,3081,5.16,130.3316616,59.4918364,9.48637,11.576,1.58E-05,25.32849839,1.013935146,1
GJ 357 b,GJ 357,b,413248763,0.0955,3505,4.94,144.0074644,-21.6650634,9.44181,8.74094,7.27E-05,20.83690062,1.019481265,1
GJ 3634 b,GJ 3634,b,49064384,,3517,4.78,164.6433493,-31.1443383,20.3779,9.79462,7.27E-05,21.89058062,1.002317724,1
GJ 367 b,GJ 367,b,34068865,0.0212,3522,4.78,146.121464,-45.7790165,9.41263,8.031941,7.27E-05,20.12790162,1.030254131,1
GJ 3779 b,GJ 3779,b,459826435,,3324,5.05,200.7335358,24.4639425,13.743,10.3381,3.88E-05,23.1143633,1.007239565,1
GJ 3929 b,GJ 3929,b,188589164,0.11206,3384,4.89,239.5775678,35.4081141,15.8095,10.2705,5.44E-05,22.68076295,1.003246976,1
GJ 393 b,GJ 393,b,277888583,,3579,4.88,157.2288672,0.8378485,7.03149,7.55839,9.37E-05,19.37861478,1.036191169,1
GJ 3942 b,GJ 3942,b,162494287,,3867,4.65,242.2645452,52.9441443,16.9287,8.42457,0.000129376,19.89439086,1.019343044,1
GJ 3988 b,GJ 3988,b,274626553,,3273,4.92,255.8503747,51.4089795,9.9105,10.5929,3.88E-05,23.3691633,1.027224016,1
GJ 3998 b,GJ 3998,b,459558974,,3722,4.77,259.0020507,11.0561751,18.1459,8.93677,0.000116934,20.51637423,1.000018036,1
GJ 411 b,GJ 411,b,166646191,,3719,4.9,165.834471,35.972317,5.675773,5.697,0.000116934,17.27660423,1.003128408,1
GJ 414 A b,GJ 414 A,b,9001920,,4120,4.65,167.7745044,30.4451688,11.8893,6.919,0.000174727,18.06255572,1.001136828,1
GJ 422 b,GJ 422,b,450545735,,3323,4.85,168.9810458,-57.5425629,12.6631,9.28858,3.88E-05,22.0648433,1.009866486,1
GJ 4276 b,GJ 4276,b,428238233,,3387,4.97,336.3221454,59.412503,21.3362,10.3854,5.44E-05,22.79566295,1.004259581,1
GJ 433 b,GJ 433,b,57654763,,3461,4.81,173.8619194,-32.5436302,9.06456,7.80742,7.27E-05,19.90338062,1.015985993,1
GJ 436 b,GJ 436,b,138819293,0.6819,3586.11,4.79,175.5505363,26.7030669,9.75321,8.40346,9.37E-05,20.22368478,1.010612563,1
GJ 463 b,GJ 463,b,147670988,,3540,4.86,185.7440496,64.0324311,18.3554,9.39352,7.27E-05,21.48948062,1.006103129,1
GJ 480 b,GJ 480,b,399119319,,3381,4.78,189.7134226,11.6950708,14.2358,9.10756,5.44E-05,21.51782295,1.000960201,1
GJ 486 b,GJ 486,b,390651552,0.155063,3340,4.89,191.981531,9.7494181,8.07426,8.8223,3.88E-05,21.5985633,1.00543151,1
GJ 504 b,GJ 504,b,397587084,,6234,4.6,199.192348,9.4249781,17.5299,4.6552,0.045713657,9.754539636,1.018303105,1
GJ 514 b,GJ 514,b,404519959,,3728,4.76,202.5040424,10.3725387,7.61778,7.16738,0.000116934,18.74698423,1.002343042,1
GJ 536 b,GJ 536,b,119147875,,3685,4.75,210.2597264,-2.6522901,10.4092,7.81159,9.34E-05,19.63567301,1.007349837,1
GJ 581 b,GJ 581,b,36853511,,3396,4.89,229.8564725,-7.7226935,6.2981,8.20238,5.44E-05,20.61264295,1.009261163,1
GJ 625 b,GJ 625,b,207492082,,3499,4.94,246.3557854,54.3033625,6.47249,8.02476,7.27E-05,20.12072062,1.009874553,1
GJ 649 b,GJ 649,b,236743275,,3734,4.76,254.5363221,25.7419719,10.3796,7.76978,0.000116934,19.34938423,1.00793573,1
GJ 667 C b,GJ 667 C,b,154385809,,3350,4.69,259.7510609,-34.9977651,7.24396,8.3617,4.10E-05,21.08007432,1.000017453,1
GJ 674 b,GJ 674,b,218263393,,3600,4.86,262.1700476,-46.8989826,4.54896,7.15787,9.37E-05,18.97809478,1.025093656,1
