pl_name,hostname,pl_letter,tic_id,pl_trandep,st_teff,st_logg,ra,dec,sy_dist,sy_tmag,Ratio,AB_Mag,Data_Size,Weight
5492.01,5492,PC,350024178,,6004,4.43,155.009421,9.300649,657.548,13.1211,0.034019754,18.54122661,1.011018161,0.5
5493.01,5493,PC,468979441,,6151,4.47291,128.640176,9.035381,225.454,10.7421,0.045697055,15.84183401,1.076001225,0.5
5494.01,5494,PC,14440334,,5386,4.44,110.662796,16.865756,265.493,11.7628,0.011579631,18.35301773,1.018732606,0.5
5495.01,5495,PC,380671216,,5729.1,4.41,179.594619,11.7317,190.774,10.6421,0.021029307,16.58449215,1.00728425,0.5
5496.01,5496,PC,323658120,,5767,4.21,137.037665,10.636648,257.828,10.7717,0.024003068,16.57048764,1.009936389,0.5
5497.01,5497,PC,270679144,,6147,4.02,137.025914,5.92396,804.465,12.3902,0.036957344,17.72040266,1.018519715,0.5
5498.01,5498,PC,262736264,,4880.9,4.5,149.366582,5.171006,285.229,12.6811,0.00311309,20.69757546,1.01043083,0.5
5499.01,5499,PC,386772576,,5019,4.51,119.738513,22.790566,335.455,12.8935,0.004250669,20.5718113,1.014875826,0.5
5500.01,5500,PC,62740096,,5625.1,4.54,116.003412,20.208863,513.084,13.189,0.017350203,19.34019314,1.006504504,0.5
5501.01,5501,PC,94823134,,5985,4.22,113.353491,26.680872,574.701,12.3295,0.032603193,17.7958042,1.014118981,0.5
5502.01,5502,PC,126322519,,6317,4.29,135.204056,27.998334,248.654,10.3404,0.051551091,15.30925989,1.009681356,0.5
5503.01,5503,PC,350044062,,6031.2,4.05,155.580302,10.288696,713.921,12.3391,0.032603193,17.8054042,1.010616391,0.5
5504.01,5504,PC,95079513,,6062.1,4.34,114.621291,26.909495,265.58,10.8343,0.039365723,16.09595896,1.021212896,0.5
5505.01,5505,PC,374350678,,5190.5,4.59,160.866036,3.9587,325.186,12.8078,0.007335799,19.89363599,1.007260854,0.5
5506.01,5506,PC,385312460,,5986,4.3,181.339963,-12.263451,712.281,13.259,0.034019754,18.67912661,1.009349386,0.5
5507.01,5507,PC,377097547,,3514,4.87,148.60167,6.646246,24.4583,10.8055,7.25E-05,22.90347388,1.047045957,0.5
5508.01,5508,PC,406140233,,5949.3,4.11,142.649374,11.627205,1076.22,13.4649,0.028095522,19.09276178,1.00669767,0.5
5509.01,5509,PC,35285308,,5638.4,4.37,139.182024,14.592401,466.413,12.5879,0.017350203,18.73909314,1.012970158,0.5
5510.01,5510,PC,26865340,,6786,4.11,112.477813,26.019184,620.47,11.4769,0.08297209,15.92902447,1.015257948,0.5
5511.01,5511,PC,389040826,,3628,4.72,141.997153,4.213192,106.339,12.8656,7.78E-05,24.88780731,1.023185535,0.5
5512.01,5512,PC,366698929,,5429,4.4,182.490924,5.631749,416.236,12.5869,0.011579631,19.17711773,1.004221837,0.5
5514.01,5514,PC,63190194,,5332,4.46,156.673491,13.018643,531.582,13.4277,0.00937301,20.2474568,1.006689457,0.5
5515.01,5515,PC,55275863,,5494,4.57761,139.616364,16.989956,135.459,10.5182,0.014233297,16.88439075,1.034158685,0.5
5516.01,5516,PC,70678449,,6077,3.88,155.838203,13.472271,857.001,12.2614,0.036957344,17.59160266,1.010918198,0.5
5517.01,5517,PC,307951656,,5737,4.06,148.617274,24.302831,1016.76,13.4016,0.020312754,19.38163251,1.006790341,0.5
